,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,119.77949507088957,5.953293529467666e-25,3.800948945737048e-24,1.9841718833587343
ACSL6,2,33.10781521296698,1.1352802448850409e-06,2.19135489128973e-06,-0.8451349440487544
ACSS1,0,3.063249458276106,0.5472971177894431,0.5823802663656894,1.0072817181867824
ALAS1,0,8.606994638661366,0.07170958596682743,0.09299836930072933,0.22071743871027483
AMDHD2,0,3.1839046241428686,0.5275345427597034,0.5686411305072128,-0.1267284574048562
ARHGEF2,1,7.738646918683693,0.1016348844431614,0.1278135667997333,-0.07062110916884037
BATF,1,2.219879231538104,0.6953914971172316,0.7306011931738002,-0.14754976874985473
BCL11A,0,24.29144028387064,6.981763701763713e-05,0.00012877475272141958,-0.5076419106270976
betaglobin,2,180.71532998405888,5.234915637002927e-38,5.695368604986313e-37,-2.257939839039967
BPI,1,98.41538091949799,2.1386603140008892e-20,1.1833920404138253e-19,1.4115890690487132
CD151,1,9.998652934069481,0.040450379255946814,0.05503904062694402,0.396778218584797
CD44,1,64.10138876100744,3.9786971024001346e-13,1.3209274379968448e-12,2.5551444321709593
CREG1,0,83.58812211222687,3.023106234852307e-17,1.393987874959675e-16,-0.8584936320054491
CRIP2,1,195.3623133169172,3.731186080640972e-41,6.193768893864014e-40,2.5794966852004335
CTCF,0,41.153866288204696,2.497705308887716e-08,5.923129732505154e-08,-0.669134315924345
CTSA,2,16.002825526561498,0.003015374559339463,0.004813001700484144,-0.3816928851497897
CYP51A1,1,431.6419811742735,4.0386482857215296e-92,3.3520780771488698e-90,3.1569394109879823
DCP1A,0,7.908326542185074,0.09499462355494126,0.121300827000925,-0.4211581528380921
DCTD,0,43.56682272954758,7.892296614109488e-09,1.9850321787002652e-08,-0.8732542865273698
DHCR24,1,259.6594574286271,5.3997253831540454e-55,2.240886034008929e-53,2.31431377436604
DHCR7,1,142.3354903310152,8.924504675063061e-30,7.407338880302341e-29,1.7530010611654263
DPP7,0,5.4251141992845495,0.24639084199127087,0.28403388729549284,0.16489772273093678
EGFR,0,4.75469306605322,0.3134058818885635,0.3468358426233436,0.03378643823278707
EMB,1,24.975984866041998,5.0872269175750954e-05,9.59635986724393e-05,0.9850041964515709
FAM208B,0,4.209711894625993,0.3783677673766827,0.4132174301613772,-0.34936641778847505
FHL3,1,128.63174968862884,7.638167967600919e-27,5.283066177590636e-26,1.173597342391044
FNIP1.F1.R1,0,10.087796100961262,0.038974453961626764,0.05391466131358369,0.6560538085332221
GLRX5,0,33.67764492430879,8.676778405103387e-07,1.7146966848180503e-06,-1.0970521598500254
GPT2,2,5.468487592382224,0.24251336364444465,0.28350153778153386,0.39606841643965757
GSN,1,46.095458344331966,2.3527320697646286e-09,6.102398805952005e-09,0.8723525832541872
HMGCS1,1,140.26958925201765,2.4713131865010514e-29,1.8647181316326117e-28,2.3903706663879656
HRAS1,1,0.32313598682487904,0.9882721313369134,1.0,-0.02276517592362878
HSD17B7,1,224.56098487738154,1.9559458927921126e-47,4.0585877275436336e-46,3.0609280532687766
HSP90AA1,0,68.43052951532752,4.866651826745684e-14,1.8360550073631443e-13,-0.932512583045489
HYAL1,2,6.627253655098051,0.15694689394568756,0.18879119126800098,-0.5875257780661585
LCP1,1,95.49778311993408,8.93068196530464e-20,4.632791269501782e-19,1.0875878309161089
LDHA,1,39.36669757342089,5.8512828474504814e-08,1.3490457676066388e-07,0.8557149738291039
MAPK12,2,13.922806275975935,0.007545545573872614,0.011597783011693093,-0.2652508593416385
MFSD2B,2,10.143893749692506,0.038072327084439174,0.053559375389973754,-0.6771315553867677
MID2,1,50.87127167202462,2.3748351775107376e-10,6.796942059772111e-10,0.728151297726429
MKNK2,2,0.9556833160793639,0.9164397309848308,0.9390678724906291,0.23813471559561825
MTFR1,0,11.112506371972017,0.025328275290672286,0.03688152366887368,-0.4262298329313579
MVD,1,194.97966980378044,4.5091436378976595e-41,6.237648699091763e-40,1.585617530320838
MYO1G,1,78.19383551824932,4.2027673294246e-16,1.7441484417112091e-15,2.5498324576812634
NCOA4,2,52.39243289611964,1.1419214708992297e-10,3.3849815030227165e-10,-0.5905903374155156
NSDHL,1,170.7595092881054,7.185477899619562e-36,6.626607396315819e-35,2.7529167675693755
PDLIM7,1,23.887978326508794,8.411230900672023e-05,0.00015176786190343,0.618318139872968
PIK3CG,0,7.7004053508834716,0.10319011838375507,0.12783253471420405,-0.39696504888988854
PLAG1,2,1.1397164881987942,0.8879206312583009,0.9212176549304871,-0.11016317487302937
PLS1,0,4.810402132754891,0.30731036591316024,0.3446859509566527,-0.44256713776657336
PLS3,0,23.37998270002199,0.00010630717790462239,0.0001877339524698651,-0.4540738398207061
PPP1R15B,0,15.605120789471338,0.0035974940913974175,0.00563381150162237,-0.3189225961732258
PTPRC,1,9.837987793690722,0.04324699999663281,0.05789517741484715,0.2033149389178545
RBM38,2,12.972168957833132,0.011412585006137664,0.017222628281989564,-0.65223069438071
REXO2,0,42.54275527116863,1.2873752405604748e-08,3.1427101460741e-08,-0.5906452858425202
RFFL,2,36.74282351640133,2.0349723900688143e-07,4.5649380642084215e-07,-0.6914362208165462
RPL22L1,2,67.8600046560269,6.420751066238337e-14,2.317053645642531e-13,-0.753209427415676
RSFR,1,59.30462102975703,4.060956936299346e-12,1.2483682433809101e-11,1.968910576643815
RUNX2,1,49.806239202355314,3.963370256324342e-10,1.0965324375830678e-09,0.9157189824333745
sca2,1,62.63843743408579,8.085315796989928e-13,2.581081581346785e-12,0.8247773586081738
SCD,1,225.9699520392369,9.72962246683959e-48,2.6918622158256196e-46,2.1857513676294076
SERPINI1,0,0.1230408719569703,0.9981834698706199,0.99818346987062,-0.20702482022686852
SLC25A37,2,48.88391488152236,6.173668107259823e-10,1.652949848072791e-09,-0.6905187501711564
SLC6A9,2,33.902960899472966,7.801279736841653e-07,1.5792834589216032e-06,-0.6233028483502991
SLC9A3R2,2,35.832564421407085,3.132515901519777e-07,6.6666364057985e-07,-0.5092277974148047
SMPD1,0,6.327202538128051,0.1760088713872031,0.2086962332162551,0.2003087355594444
SNX22,2,11.432391854258613,0.02211113358578738,0.0327718587075063,-0.5825496848927243
SNX27,0,20.725056092437484,0.0003589931973992579,0.0005959287076827681,-0.5392522180384511
SQLE,1,84.08965399054905,2.3663806750912125e-17,1.1553505648974745e-16,1.258475454858326
SQSTM1,0,10.24398340048647,0.036512368402650895,0.05225045823137973,-0.1263897256665971
STARD4,1,69.77056197017554,2.5376476448418624e-14,1.0029750215327361e-13,1.3595131670485252
STX12,2,80.87972460503809,1.1339900834516921e-16,4.953746154025813e-16,-0.772079152630992
SULF2,1,6.629922958613014,0.15678605938988974,0.18879119126800098,0.4324089355006103
SULT1E1,0,9.261113636087137,0.05489415080696891,0.07232086534886381,-0.3702411945257051
TADA2L,0,21.283812454573955,0.0002781652954111866,0.0004711779493699691,-0.3925061139742687
TBC1D7,2,180.6193013453328,5.489511908420542e-38,5.695368604986313e-37,-1.4911371849580195
TNFRSF21,0,17.49417622716314,0.0015490405678375066,0.0025209875907943736,1.7686303866973536
TPP1,0,4.939136475061693,0.29359967812750903,0.33381881211757874,0.23795857343999713
TTYH2,2,36.46583086876016,2.3205480200896705e-07,5.068565412301122e-07,-1.2108514842413562
UCK1,2,67.27528379474117,8.529155997091292e-14,2.949666448994072e-13,-0.7904692714622967
VDAC3,0,33.910054725710744,7.775194235012157e-07,1.5792834589216032e-06,-0.597436855489429
WDR91,0,23.064394779445344,0.000122929902194949,0.00021256628921209933,-0.34598540217814977
XPNPEP1,0,108.11132759269405,1.839608895037075e-22,1.0906252734862661e-21,-1.0411600449291372
