,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,4.405090344761794,0.3539501084572131,0.43202733826395123,0.1283092578084024
ACSL6,2,22.00275022842167,0.00020016793312019966,0.000535933498354083,-0.5338552813577494
ACSS1,0,1.847911596835933,0.7637059697548921,0.8451679398620807,1.9880311115378047
ALAS1,0,4.949708804823399,0.29249672093278295,0.3623466841406117,0.28223099158805914
AMDHD2,0,18.814380091088573,0.0008547571813903537,0.001970690168205538,-0.5612753818478521
ARHGEF2,1,33.892906087499895,7.83840288998048e-07,2.8286410429059995e-06,0.95960452177233
BATF,1,61.867201696726156,1.1747778209183172e-12,1.0834062126246703e-11,1.6905930163575862
BCL11A,0,18.853882861267977,0.0008396306611469453,0.001970690168205538,-0.390274439360282
betaglobin,2,197.26629750335417,1.4540241511086888e-41,1.2068400454202117e-39,-1.4460069859509947
BPI,1,54.50024161609593,4.134692451730887e-11,3.1198133953969417e-10,1.1401051753357856
CD151,1,14.10175633723698,0.006977273923489671,0.013161675810219153,0.5543882828723704
CD44,1,57.969869185953876,7.742941067015115e-12,6.426641085622545e-11,5.6330711553944965
CREG1,0,15.723475533306777,0.0034135759035271085,0.007455968420861842,0.33584996778536613
CRIP2,1,30.677708557676297,3.561572812367956e-06,1.094853864542742e-05,1.289324608493707
CTCF,0,14.91258818865761,0.00488599139648521,0.01039839194636596,0.3726554155751241
CTSA,2,142.63866877241892,7.685303862702697e-30,2.126267402014413e-28,-1.0781661582205566
CYP51A1,1,34.538024593565446,5.779340995850296e-07,2.1803877393435206e-06,-1.5312037859734693
DCP1A,0,7.68767018531418,0.1037129480199011,0.14590126585850494,-0.19782074823139112
DCTD,0,1.1550898623462111,0.8854359701562952,0.9302681711768671,-0.06607674878273466
DHCR24,1,8.749234153245794,0.06768235645413827,0.10164412216945595,-0.5191967436532994
DHCR7,1,14.737221927949221,0.00527844861492088,0.01068563987898617,-0.6995866345051468
DPP7,0,11.904719503025749,0.018074040133900765,0.029414614335563992,0.3238519237914736
EGFR,0,3.9079648269855203,0.41860472439379115,0.4963456017812095,-0.024256825254737293
EMB,1,53.39563997359893,7.042545949823592e-11,4.871094281961318e-10,1.275113969707379
FAM208B,0,0.7905903515844442,0.9397050896554733,0.9629076844617812,0.17941811654379777
FHL3,1,29.76494502309646,5.464399255768212e-06,1.61980406510272e-05,0.6269514853777024
FNIP1.F1.R1,0,6.639889773658532,0.15618684839553218,0.1994385910281411,-0.43692649479074314
GLRX5,0,36.474659185920025,2.310857572296504e-07,9.133389452409992e-07,-0.9465649647217956
GPT2,2,47.466711959949066,1.2190387448362437e-09,6.323763488838014e-09,-0.9745047874922464
GSN,1,9.022446063950378,0.06054087830998366,0.09305357221719711,0.3516105776299139
HMGCS1,1,23.456094663735914,0.00010264446653194917,0.000283983024071726,-0.908116383173669
HRAS1,1,38.64487751725578,8.247974198379243e-08,3.422909292327386e-07,1.1592894671951275
HSD17B7,1,14.25049805046837,0.00653702801844658,0.012617984314675956,-1.2418589064959429
HSP90AA1,0,14.319456885529151,0.0063422761966303535,0.012533545817150462,0.25533435339616395
HYAL1,2,17.243949143539915,0.0017329587499521537,0.0038874480066494257,-0.5990479960981958
LCP1,1,33.230535597313725,1.0714456098217731e-06,3.7054160673002987e-06,0.8193906388307176
LDHA,1,87.4067681923747,4.679525815440932e-18,7.768012853631947e-17,1.2784404711485648
MAPK12,2,50.745609312349686,2.522825809650929e-10,1.6107272477002086e-09,-1.259053143242368
MFSD2B,2,1.7836165438573177,0.7754784055274189,0.8469040481417864,-0.8015587034161826
MID2,1,20.876102719110754,0.0003350919038825231,0.0008691446256952944,0.6268196597860467
MKNK2,2,48.96442753893662,5.939457920494821e-10,3.521250052864787e-09,-0.7774898001607745
MTFR1,0,8.187102379711462,0.08495989793470282,0.12158054359621265,0.008182418063005514
MVD,1,13.9431539521911,0.007478712414858958,0.0137940695651843,-0.3806055955326012
MYO1G,1,1.048815022301707,0.9023058885370046,0.9361423593571422,-0.1739859778289526
NCOA4,2,8.321475153768352,0.08048712330075879,0.1172005479642628,-0.32262633387990775
NSDHL,1,7.2595373873795985,0.12279219977845773,0.16438310615503213,-0.6403773817066467
PDLIM7,1,8.716878450394253,0.06857916676493414,0.10164412216945595,0.28473489713914063
PIK3CG,0,4.10748176186495,0.39165515870486295,0.47112142278990754,-0.49080015231794083
PLAG1,2,18.95892410755299,0.0008006835905727869,0.0019546099416923915,-0.6478607107731741
PLS1,0,155.58291354138925,1.294430434502267e-32,5.371886303184408e-31,-1.2993563361428633
PLS3,0,6.034602999028949,0.19657896103436573,0.24721293584624782,-0.24792246945367075
PPP1R15B,0,13.10283160140145,0.010784118549850796,0.019044294460374808,0.35847905724659823
PTPRC,1,101.40396188755346,4.942158138817406e-21,1.0254978138046118e-19,2.4515700130325935
RBM38,2,2.089922993751558,0.719223921229205,0.8066971008381624,-0.3252015201442338
REXO2,0,3.2287291641157863,0.520303229494063,0.5997940006667671,0.11629223033696938
RFFL,2,12.4732097493357,0.014158321750013268,0.023982463372471455,-0.31893833437059765
RPL22L1,2,40.69857023769937,3.103138070609377e-08,1.3555813676872543e-07,-0.4056453597522048
RSFR,1,31.533094680576447,2.3829730510205334e-06,7.607183201334781e-06,2.346506834863297
RUNX2,1,19.103377300408802,0.0007500259579295831,0.0018864289244895575,0.6237567505962066
sca2,1,26.7259231684516,2.258309809432875e-05,6.463438420100987e-05,0.6378874908275429
SCD,1,3.737824072117624,0.4426485522073713,0.5174623920170679,-0.25364100405960244
SERPINI1,0,0.4407175443286134,0.979009550529595,0.979009550529595,-1.728371346103027
SLC25A37,2,86.53681422357704,7.159182704134613e-18,9.903536074052882e-17,-1.290533263244957
SLC6A9,2,45.933045161251165,2.54314427862092e-09,1.2416527948560961e-08,-0.7178742607326226
SLC9A3R2,2,12.563821784788674,0.013615892811745552,0.023544147986976682,-0.18269023808972015
SMPD1,0,12.030723377750821,0.017124254694069755,0.028426262792155793,-0.41328026070667984
SNX22,2,81.12579145520048,1.0056897252907851e-16,1.0434030899891896e-15,-1.279728898617533
SNX27,0,7.3224721945241695,0.11979714471184816,0.16300267231284257,0.20730634746234872
SQLE,1,7.06645532169259,0.13241776507831773,0.17373132712399877,-0.39692366828630826
SQSTM1,0,13.26890873555212,0.01003393033077343,0.018104700379439013,-0.42802394517987324
STARD4,1,3.1603084298246484,0.5313655669871287,0.6041553706839956,-0.25919220236565826
STX12,2,1.3824251002216428,0.8472437941895505,0.9132627911393857,0.04307246406224874
SULF2,1,47.597973448557845,1.1446305338929277e-09,6.323763488838014e-09,0.8917758920580815
SULT1E1,0,1.1943737116716584,0.8790240780120059,0.9302681711768671,-0.02704640159268108
TADA2L,0,7.03669917165197,0.13396150525224002,0.17373132712399877,-0.3125494647884572
TBC1D7,2,81.78487820131173,7.290796795408166e-17,8.644801914555395e-16,-0.7285543408303062
TNFRSF21,0,0.6292964126920829,0.9597532102758766,0.9714575177182654,1.3080356650924836
TPP1,0,10.276801799162302,0.036014392413734324,0.05639989755358394,-0.332335438688699
TTYH2,2,41.51138157802638,2.1061577663917008e-08,9.711727478361731e-08,-0.9826879766890249
UCK1,2,32.091163369893216,1.8327542764166193e-06,6.084744197703176e-06,-0.5109605605356708
VDAC3,0,7.368366119107253,0.11765583924532953,0.16275724428937252,0.17041684425846115
WDR91,0,14.837787984163544,0.005049755123255675,0.010478241880755527,-0.24459098949613792
XPNPEP1,0,10.750933700073265,0.02951048868174211,0.047103280011242206,0.14188854860384462
