,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,62.00594203084344,1.0984266560278369e-12,1.1396176556288807e-11,-3.075277733909508
ACSL6,2,16.203577730244355,0.002757811379321479,0.005323217313574018,1.180553222421454
ACSS1,0,3.6540524206173455,0.4548439616768136,0.5033606509223404,1.2918574283242577
ALAS1,0,14.466065390023601,0.0059469413198675,0.010502045309553246,0.31531173680746116
AMDHD2,0,4.233012553812903,0.37538853894131946,0.45155432945115237,0.4886860189421989
ARHGEF2,1,18.80505072249636,0.0008583687593297731,0.0017784950911018539,-0.39597336055826776
BATF,1,18.75366377125114,0.0008785337197009159,0.0017784950911018539,-1.5472227415920847
BCL11A,0,5.770669876104851,0.21694189097920588,0.2770181069426783,0.23711255061333744
betaglobin,2,55.79952792345201,2.2089239331603733e-11,1.83340686452311e-10,2.1492559180439113
BPI,1,27.376279004226156,1.6683352857582704e-05,4.498736165279524e-05,-0.4965594428817815
CD151,1,34.30137573976882,6.463146284893995e-07,2.332352789766094e-06,-0.1260722917651878
CD44,1,37.89278305215174,1.1791011087930219e-07,4.6602567633248006e-07,-inf
CREG1,0,5.82812840307647,0.21235668755341672,0.2754000791708373,0.4679628679670195
CRIP2,1,51.64798973596412,1.6341991695520076e-10,1.133144446541482e-09,-1.7809990481364213
CTCF,0,6.722035594727105,0.15132698384157003,0.21627933617229306,-0.09611300967837356
CTSA,2,40.440030319508445,3.509980324099838e-08,1.6184909272238143e-07,1.205416625431832
CYP51A1,1,23.985120069527365,8.042518808934974e-05,0.00018542473920600078,-1.4898077018029572
DCP1A,0,4.12262335297954,0.38966487664152316,0.4520526726444105,0.7128922995628305
DCTD,0,25.24186381863649,4.497857967181701e-05,0.000109800650375318,0.7817357411802408
DHCR24,1,25.624379159204967,3.767031875766874e-05,9.474655929959107e-05,-1.386051616470664
DHCR7,1,3.4634388503818627,0.48345927936965216,0.5279884235221202,-0.29468090840265904
DPP7,0,8.868507405338091,0.06447153278725175,0.10290648502580568,-0.29584814971320067
EGFR,0,47.74818765018324,1.0650256305264762e-09,5.893141822246502e-09,-0.18202404958445037
EMB,1,14.843262915004821,0.005037587973101755,0.009291551150387682,-1.4295576643877244
FAM208B,0,0.1594969137144728,0.9969842035115759,0.996984203511576,0.40923835930111585
FHL3,1,29.175074266208423,7.202621940242204e-06,2.2141393371855665e-05,-0.327514947290978
FNIP1.F1.R1,0,1.407955811060627,0.8428110859326975,0.8744165016551737,-0.13740793454210312
GLRX5,0,10.859846282730071,0.028185135320180715,0.04586992610931371,1.8385982525860824
GPT2,2,4.103786345514292,0.39214207747466934,0.4520526726444105,0.45023876544747327
GSN,1,6.315271741971362,0.17680828685943537,0.2329379017354466,-0.2765932584484009
HMGCS1,1,28.78066122997027,8.661772454517567e-06,2.567596834731993e-05,-1.144666722242608
HRAS1,1,6.680940740222348,0.1537407329417505,0.21627933617229306,-0.3803879809602718
HSD17B7,1,24.509617998420495,6.312153460075851e-05,0.00014968821062465588,-1.21644074448336
HSP90AA1,0,16.455414376595893,0.0024651648948142897,0.004871635387371096,0.46907849582540406
HYAL1,2,27.361005248867496,1.6802508569116293e-05,4.498736165279524e-05,1.6972947890700134
LCP1,1,71.30980269687907,1.2006188195044503e-14,1.9930272403773874e-13,-1.487188915303266
LDHA,1,46.7523692242545,1.7171876063697022e-09,8.90791070804283e-09,-0.8701068199487028
MAPK12,2,3.915868166577711,0.41751157794764404,0.46829001310343854,0.3712115233884346
MFSD2B,2,0.4701334570509836,0.9763426008427251,0.9882492179261728,3.0867614433597144
MID2,1,70.70439085194985,1.611637068234357e-14,2.2294312777241936e-13,-1.5048147948138457
MKNK2,2,51.47563960771142,1.7755498707566266e-10,1.1336203020984616e-09,1.4740905332201308
MTFR1,0,4.637057662857162,0.3266038632677346,0.39864883310620547,0.5555423067934606
MVD,1,12.527201551182143,0.013832628477993898,0.023918920076531115,-0.7622332526055362
MYO1G,1,12.340198008284418,0.014992884733546239,0.02539611087519057,-0.7471351799135096
NCOA4,2,34.12582177694197,7.021981732330462e-07,2.428435349097618e-06,1.216809910987465
NSDHL,1,68.00974535172743,5.970352059836256e-14,7.079131728091561e-13,-4.48190758940382
PDLIM7,1,7.109067375823297,0.13023555115741167,0.19302769189402086,-0.3566406548543906
PIK3CG,0,6.897891055864658,0.14138361349142353,0.2058743845576869,1.123802097123768
PLAG1,2,25.81869737916571,3.442293474877741e-05,8.92844870046414e-05,1.5520136051329902
PLS1,0,7.949469515099906,0.0934468266464974,0.14634125682376006,1.336215026725567
PLS3,0,0.671642289077634,0.9547794073658817,0.9783542075477554,0.36550990658911614
PPP1R15B,0,15.256617587328497,0.004197524735731252,0.007918058024220317,-0.45321824634890007
PTPRC,1,58.703053674801765,5.4321831275874534e-12,5.0096799954417625e-11,-3.5742749388742343
RBM38,2,47.80094088626009,1.0384010627398693e-09,5.893141822246502e-09,1.9802859854761297
REXO2,0,12.286490151541624,0.015343276556296645,0.02546983908345243,-0.06016506351022267
RFFL,2,22.527317880555827,0.00015735304090175724,0.00034369216828541717,1.0614557293689182
RPL22L1,2,74.96473533201083,2.027105437394193e-15,4.206243782592951e-14,1.4350102236154358
RSFR,1,39.01446553885752,6.918684265188473e-08,2.871253970053216e-07,-2.467293637697195
RUNX2,1,36.43340426780691,2.3564902284825712e-07,8.890394952911519e-07,-0.7327487114925046
sca2,1,80.32813027989181,1.4841793873166148e-16,6.1593444573639515e-15,-1.1267643120542195
SCD,1,51.642807077992444,1.6382811275298534e-10,1.133144446541482e-09,-1.3765512729201126
SERPINI1,0,2.927436928664288,0.5700411745017461,0.614459967320064,1.7870793248233376
SLC25A37,2,78.73840438968617,3.222722391021235e-16,8.91619861515875e-15,1.9677491736912398
SLC6A9,2,33.051642379412726,1.1657500018188885e-06,3.87029000603871e-06,1.274862417642203
SLC9A3R2,2,5.359611743588165,0.2523480803710869,0.31261030851940613,0.4766163781637303
SMPD1,0,1.6943331739546592,0.7917467514644336,0.8424997483531794,0.297707521033371
SNX22,2,31.738186191105548,2.1638750069144567e-06,6.907754829765381e-06,1.8560645238503422
SNX27,0,6.32933500761529,0.1758663297790907,0.23658842911730435,0.4980751855570846
SQLE,1,28.093391546482056,1.1940944418494e-05,3.4175806439138e-05,-1.1052634552875436
SQSTM1,0,7.9023551590283585,0.09522125108866275,0.14635858963627793,0.8027306759928305
STARD4,1,5.670092645439362,0.22517783548336465,0.2831781870472616,-0.5450540163474584
STX12,2,43.67759656684813,7.485204376922175e-09,3.654540960497297e-08,1.1449272826429027
SULF2,1,14.735824128590345,0.0052816978756550755,0.009530020079986332,-0.36627186309574
SULT1E1,0,6.517216777073353,0.16370881443854818,0.22646385997332497,0.515278599017064
TADA2L,0,3.932235693016834,0.4152544263301189,0.46829001310343854,0.6228325612765404
TBC1D7,2,88.01751400529596,3.471656099266323e-18,2.881474562391048e-16,2.2380199065400554
TNFRSF21,0,23.533515105138065,9.904732159980874e-05,0.00022218723494011152,-1.676519341447296
TPP1,0,4.185688193849809,0.3814585784572133,0.4523008858849815,0.35239696690082795
TTYH2,2,39.92964079434975,4.475894233908406e-08,1.9552590600757775e-07,1.677551639987756
UCK1,2,22.293176439573827,0.00017520744354285975,0.0003728773798476246,0.6616913626878812
VDAC3,0,7.522363677420712,0.11072718278014189,0.16709738492275958,0.2888756800244221
WDR91,0,6.316457259233839,0.17672870608762492,0.2329379017354466,0.5523212260924804
XPNPEP1,0,1.5661160705189825,0.8148688102732315,0.8561279905402307,0.466360590852682
