,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,69.49973567612015,2.89466687741094e-14,6.006433770627701e-13,-2.9359908395803265
ACSL6,2,8.440718082443347,0.07670465665661987,0.12483306867645978,0.8156234359267222
ACSS1,0,5.958514325441278,0.20226794434861814,0.29453051545500536,-0.5616416322126185
ALAS1,0,8.782279556713496,0.0667779091734803,0.11311360125303806,0.024071752105854518
AMDHD2,0,3.2118265828392185,0.5230228707543978,0.6029291426752086,0.1204870250317462
ARHGEF2,1,20.33161331105906,0.00042947349735401234,0.0016202863763810464,-1.0461862739740149
BATF,1,13.766044074992328,0.008080425880543968,0.01972574553191616,-1.6589794153559927
BCL11A,0,5.811380708756622,0.21368425457387719,0.30451560892622326,-0.5251056167061638
betaglobin,2,5.673681672148108,0.2248792905874516,0.3110830186459747,0.8787821762354167
BPI,1,39.102792910842595,6.634034766727597e-08,5.506248856383905e-07,-1.1472895247907184
CD151,1,21.61642928992363,0.00023891106235113447,0.0009442675321497219,-0.5116502582980959
CD44,1,23.331162842544245,0.0001087245181675543,0.0004749544741003688,-inf
CREG1,0,4.842946181938409,0.3037950737839561,0.40023795435029136,0.058180396762041245
CRIP2,1,24.40012381452946,6.639821477651973e-05,0.0003061695459139521,-2.0187956676267023
CTCF,0,5.27355747549232,0.26036249431610214,0.3485497907780077,-0.21707220050782466
CTSA,2,4.73274085054562,0.3158350212254508,0.403297027103268,0.10621065708140706
CYP51A1,1,45.23575762764503,3.5515744961223474e-09,4.047301471254735e-08,-2.1311823294860184
DCP1A,0,4.528708714468373,0.33915692920849666,0.4265155321864428,0.04240535512045637
DCTD,0,12.548908775918756,0.013703752535777125,0.031594762790819485,0.07134273188828813
DHCR24,1,26.736166079995733,2.2475746826580545e-05,0.00012436579910707902,-1.3419382239217623
DHCR7,1,9.572491375888468,0.0482788346771474,0.08711181039572248,-0.5397628235725
DPP7,0,8.95015576481071,0.06235749648866399,0.10782650434498148,-0.28008738349874396
EGFR,0,14.215432002878481,0.0066382971584816874,0.017773505295289677,-0.3383422948196533
EMB,1,24.844584049149805,5.406221116400755e-05,0.0002639507956830957,-1.5889848467108354
FAM208B,0,1.192299820490224,0.8793647678366718,0.9238895662081488,0.23326060109696367
FHL3,1,34.4316115909082,6.077415497773872e-07,3.6030391879659386e-06,-0.4096880969383784
FNIP1.F1.R1,0,0.8219417909348823,0.935482490948298,0.9468908140086432,0.060144185438158755
GLRX5,0,7.960484888684932,0.09303645523270977,0.14850049585220984,0.5861932526123653
GPT2,2,3.8585785658317473,0.4254833531063277,0.5118133088090608,0.39123779308226403
