,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,132.42997106991828,1.1766932776415275e-27,6.104096377765424e-27,1.973194246837955
ACSL6,2,42.88690311758767,1.092237196628921e-08,2.158468745719058e-08,-1.0140604389117718
ACSS1,0,41.43051784871703,2.188982905563077e-08,4.22524607352873e-08,4.848811890261463
ALAS1,0,26.8360391388558,2.145525860652151e-05,3.7889073709389045e-05,0.7941884149999408
AMDHD2,0,6.580537203699128,0.15978609575720587,0.20094312042194074,-0.31980484534225556
ARHGEF2,1,101.6662979210417,4.345617553326271e-21,1.5028594038586687e-20,1.5391963260192365
BATF,1,43.90249367340707,6.722037202120945e-09,1.3608026531122888e-08,1.6547999213716391
BCL11A,0,12.689949114752663,0.012894451045157998,0.018776130469265156,-0.13569818266787828
betaglobin,2,486.9581075078522,4.432330655208232e-104,1.8394172219114163e-102,-2.433473083182467
BPI,1,523.3999988894445,5.815598273426952e-112,4.82694656694437e-110,3.202424326293436
CD151,1,104.04192770279835,1.3552832609923581e-21,4.890804811407205e-21,1.3367444679900753
CD44,1,135.60676837299343,2.4602214096658233e-28,1.4051154561294224e-27,7.726244881654944
CREG1,0,2.7348931498158264,0.6031227152267029,0.6398671278684267,-0.11286119301510499
CRIP2,1,258.6641725449574,8.847894713350134e-55,1.4687505224161222e-53,4.106617913184421
CTCF,0,2.701054175966039,0.6090301578506712,0.6398671278684267,-0.1755197095197698
CTSA,2,16.570477014545318,0.0023418533681840528,0.0035995153622088217,-0.3606530750199213
CYP51A1,1,215.95618031530557,1.390114171272628e-45,1.9229912702604688e-44,2.267110252697574
DCP1A,0,4.164395766009251,0.3842142489038214,0.4196024034081207,0.051508043372890944
DCTD,0,5.827568932625361,0.21240091828980923,0.2631235256425995,-0.22893802601815172
DHCR24,1,143.49921167076084,5.02773931340268e-30,3.210018177018634e-29,1.751003638163839
DHCR7,1,104.22309469119593,1.24002801985456e-21,4.6782875294512954e-21,1.2984963418301205
DPP7,0,27.379987498449907,1.665454868504627e-05,3.0050598714322618e-05,0.4729888803079536
EGFR,0,2.8472627259994825,0.5837021844688184,0.6291854715702847,0.1658478582132529
EMB,1,164.397466471828,1.6659441971321526e-34,1.2570306214724424e-33,2.419545348482061
FAM208B,0,6.584144769897975,0.1595651948329157,0.20094312042194074,0.006029456959474842
FHL3,1,283.84763178054453,3.298940715546239e-60,6.845301984758446e-59,1.8827219774161463
FNIP1.F1.R1,0,0.7728346804390418,0.9420524057641201,0.9486986153139723,0.02157519376221688
GLRX5,0,16.426110084920126,0.0024975786962770485,0.0037690733052908186,-0.7912121245981037
GPT2,2,27.69022538646321,1.4412106236425204e-05,2.65823292805176e-05,-0.5194353986873795
GSN,1,91.93466674097886,5.1101855861674e-19,1.570908902414423e-18,1.1871400120715947
HMGCS1,1,97.27455334929931,3.7403054624863074e-20,1.241781413545454e-19,1.513644229283833
HRAS1,1,76.68222694856792,8.780366330358684e-16,2.429234684732569e-15,1.4939677305769823
HSD17B7,1,80.28266846558103,1.5174640757114767e-16,4.3430868373811225e-16,1.7318859587671906
HSP90AA1,0,10.292677881018529,0.03577584513585423,0.051196468039239676,0.23976712201794292
HYAL1,2,20.169131071792915,0.000462431607569803,0.0007676364685658731,-0.45718998020398743
LCP1,1,135.54250856989458,2.5393652821616066e-28,1.4051154561294224e-27,1.7005472545395686
LDHA,1,293.37245584129073,2.9128669039940074e-62,8.058931767716753e-61,2.6306557307284892
MAPK12,2,44.99208273537241,3.99105825990632e-09,8.281445889305615e-09,-1.1372543200489404
MFSD2B,2,9.502968439358556,0.04968628831307053,0.0687326988330809,-1.8302833145876796
MID2,1,105.4673077741043,6.7345949422136e-22,2.6617684771606136e-21,1.5373189835782326
MKNK2,2,17.631628774501454,0.0014563534723136553,0.0022807044943779884,-0.2907362165232385
MTFR1,0,7.523287773962373,0.11068677383570251,0.15044349219060738,0.12833325633194134
MVD,1,72.8703241890912,5.61939904146874e-15,1.5045487756190497e-14,1.0613256267923699
MYO1G,1,67.94919141865445,6.148557820919441e-14,1.546455451928223e-13,1.8943928483180743
NCOA4,2,18.623959825805873,0.0009315379805634476,0.0014868779305147336,-0.43512381093004887
NSDHL,1,147.13433807248592,8.370127886737161e-31,5.789338454993203e-30,2.0716222172300154
PDLIM7,1,112.1348420263806,2.5504492479349838e-23,1.0584364378930182e-22,1.3897055660995083
PIK3CG,0,7.484843824852704,0.11237947609418865,0.15044349219060738,0.04856366557500178
PLAG1,2,13.440766347809662,0.009311368768539148,0.01380077871051338,-0.5138208706404903
PLS1,0,52.68117945127948,9.936538279834074e-11,2.1146991723749438e-10,-0.821131437035004
PLS3,0,28.046712001617742,1.2203961522707012e-05,2.3021109236015502e-05,-0.5475367071326142
PPP1R15B,0,4.48986337063264,0.34375111455228924,0.3908403083265754,0.21514999576779753
PTPRC,1,191.32564086513065,2.7505809174767183e-40,3.261403087865252e-39,2.946078977580489
RBM38,2,1.201577142328313,0.877838883339652,0.9107578414648889,-0.09614434221180558
REXO2,0,4.290589263116813,0.3681049971142607,0.4128745237903194,-0.2315370719988257
RFFL,2,26.69152922759566,2.2947309440889276e-05,3.886993231824102e-05,-0.532617483729728
RPL22L1,2,61.82813210091774,1.1972196618948114e-12,2.760256442701926e-12,-0.64348207524817
RSFR,1,63.87189003600621,4.446982632268662e-13,1.0545701670808542e-12,4.474878369916392
RUNX2,1,165.61053157273977,9.149583064077392e-35,7.594153943184235e-34,2.0512785680455856
sca2,1,190.36333063441495,4.4281290249303735e-40,4.5941838633652626e-39,1.7760092446288405
SCD,1,125.86099216716013,2.9877267943613704e-26,1.3776740218444098e-25,1.6533275446576288
SERPINI1,0,0.7211237119333743,0.9486986153139724,0.9486986153139723,0.370281474200955
SLC25A37,2,178.29982338709982,1.7284252214337425e-37,1.5939921486555628e-36,-1.5938674444332264
SLC6A9,2,26.729774501963135,2.2542674347100728e-05,3.886993231824102e-05,-0.6658525303868128
SLC9A3R2,2,71.70086564649186,9.926529651678612e-15,2.57469362840414e-14,-0.8157747379490551
SMPD1,0,9.646415104795556,0.04682414376705037,0.06587125309602002,0.27285261004334954
SNX22,2,94.11207925615334,1.7602308425351296e-19,5.619198458862144e-19,-1.4361768017836853
SNX27,0,4.179558047775835,0.38225037664358036,0.4196024034081207,-0.0023127114852493865
SQLE,1,83.74480794142269,2.8004243661943025e-17,8.301257942647396e-17,1.1023612122942994
SQSTM1,0,6.723745665384944,0.15122729352759598,0.19612289629360102,-0.1516822740337706
STARD4,1,61.765534067296734,1.2340725640930776e-12,2.7683249410736607e-12,1.00208235361176
STX12,2,5.553995167000839,0.23502387375205022,0.28270987712203144,-0.21270446833776435
SULF2,1,117.12845593917807,2.192120750101295e-24,9.576106434653027e-24,1.5184568722703777
SULT1E1,0,5.610236695692134,0.23020817890335304,0.28098939483791624,-0.3234622941930049
TADA2L,0,4.703149412164979,0.3191339337893855,0.36789050700720827,-0.15683960891354023
TBC1D7,2,129.43200894352486,5.150714970008697e-27,2.5147608382983637e-26,-1.0410542850351645
TNFRSF21,0,5.287901937738061,0.25901159631530873,0.30711374991672324,3.799318423467692
TPP1,0,4.954077967674514,0.29204192187407735,0.3414011199373017,0.05482566370739105
TTYH2,2,56.9235734081973,1.2836959478769229e-11,2.8038622019417002e-11,-1.3018438126918794
UCK1,2,63.87655260118855,4.4369415688834324e-13,1.0545701670808542e-12,-0.6435992653197997
VDAC3,0,0.8162628622473881,0.9362545992223279,0.9535408497368533,-0.0915030077429006
WDR91,0,19.832946259606537,0.0005387816424878659,0.0008768407122841738,-0.3979320166879661
XPNPEP1,0,6.817091385812477,0.1458756353875249,0.19218536090737406,-0.3223331193850678
