,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,43.80301983660137,7.04951459252224e-09,6.713823421449752e-07,-1.2126445269103878
HBBA,2,82.35371080623867,5.5232298018185465e-17,1.578065657662442e-14,-1.507293202539736
HINTW,1,44.50955884855485,5.027873293402146e-09,5.200934475261167e-07,0.07115947079692778
ENSGALG00000052767,2,88.2038337117417,3.1693913489706666e-18,1.0564637829902222e-15,-1.6055175569234854
ENSGALG00000053077,1,18.01371466013416,0.0012265048510525,0.020106636902500002,0.31119381019292425
HBAD,2,41.32329432324876,2.303839012285679e-08,1.7721838556043685e-06,-0.8497065380238907
KPNA2,0,1.0871536176609355,0.8963050356758638,0.93316505536269,-0.4448598090683767
ENSGALG00000047563,1,7.95634581873334,0.0931904555013558,0.2716922900914163,0.288330100357715
THY1,1,6.93439392049342,0.1393960904555413,0.33916323711810537,0.6028707603397696
ENSGALG00000050153,0,9.052849409228152,0.0597919868981262,0.21090647935846982,0.6029920003113429
LDHA,1,106.1644017565329,4.783518172965252e-22,1.9134072691861011e-19,0.7727750542510007
CRIP1,1,42.7903457196571,1.1437968773545031e-08,1.0398153430495483e-06,1.60517009197495
MLANA,1,5.959745084569112,0.2021747719361398,0.4147174808946458,-0.543908938144661
ID2,1,23.26485619204879,0.0001120953253084,0.003799841535877966,0.3729754977284419
CD99,0,1.3817695494366085,0.8473572864777795,0.9029732017580067,0.40482569465478363
HIST1H101,1,6.307161252962454,0.1773535887288677,0.38502038369640523,-0.43184479422737587
HSPA5,1,17.667312540990146,0.0014332001680342,0.022220157643941085,-0.8925222482125958
MT-MT-CO1,1,23.40395538831525,0.0001051397659276,0.0036255091699172416,-0.1772887509600743
RSFR,1,28.548990843938608,9.652332611842155e-06,0.0004826166305921077,1.5663138589484566
MT-ND3,0,81.80832392137253,7.207843247206126e-17,1.8019608118015314e-14,0.17239935172188495
CDK1,1,3.1090439090667643,0.5397458759262717,0.6918341963657051,-0.41656890068317404
ENSGALG00000050596,1,3.031472394027871,0.5525724550500204,0.6995260170337901,0.7827274277954829
HSP90B1,1,16.144367308237587,0.0028314377335442,0.03562354318747925,-0.5717814869159971
IFI6,1,8.689638674439419,0.0693428946641436,0.2277270760727212,-2.4025292274028205
ENSGALG00000053107,1,8.6177860794661,0.0713962670436579,0.2314303631885183,-0.1495484862329491
CCDC170,0,1.156482768191678,0.8852101495929094,0.9245014617158324,-1.5280601094866793
MT-ND4L,1,25.63504698225692,3.748439344904132e-05,0.0016276821707246608,-0.6268066214052566
ENSGALG00000011747,1,3.600072421387203,0.4628261130498302,0.6370627846522094,-0.06508813314413335
SAT1,0,15.19476472790141,0.0043138496498291,0.0468898025736587,0.4251107583658101
TUBB1,0,9.172108868951492,0.056938632029295,0.20481522312696043,0.5467076589152932
DDC,1,6.294686529029344,0.1781952691106632,0.3857040456940762,1.3788304861218394
ENSGALG00000040263,1,9.7616510656271,0.0446398471925582,0.17437440309593047,0.45320332793173496
LBH,1,5.794258946388863,0.2150490314544846,0.4270971632739669,0.7520478097060563
PTGS1,1,14.711268700890816,0.0053390995350146,0.051337495528986546,0.6657116339100011
ASTL,1,4.367169079829384,0.358589584137218,0.553964661923258,1.6418648919556331
SMC2,1,8.745587182161724,0.0677828818484392,0.22608914480673267,-0.11033352268019514
MARCKSL1,0,3.752963896443,0.4404695568110573,0.6178386715842002,-0.9430976087655227
FTL,1,8.570551097385687,0.072777328582549,0.2355253352186052,-1.680063202931729
PCNA,1,4.392232240394068,0.3555178713501517,0.552215129756404,-0.41645002484962246
RPLP1,0,40.88926033758431,2.833534429457657e-08,2.0239531638983264e-06,-0.33111032723984446
RLN3,1,1.273530371360815,0.865850221784903,0.9109418430141011,-0.9430976087655227
PDLIM1,0,4.924023836144055,0.2951823379659636,0.503294693889111,1.0569023912344773
LAMP3,1,23.019712552508214,0.0001254831036722,0.0041142001204,0.5598715197583256
ATP1B1,1,8.886194270090446,0.0640078907734682,0.22091943768803451,-0.30566768815023115
LY6E,1,54.5961996818368,3.9476909603243526e-11,5.639558514749076e-09,0.7204747266519995
CSTA,0,153.78390249474285,3.145882183690554e-32,3.145882183690554e-29,1.2994726945085553
ENSGALG00000043758,1,0.7997973553576319,0.9384752297384148,0.9615524894860807,-0.48562484316628246
HINT2,1,4.822712852942791,0.305976665875794,0.5141616608255858,-0.14654321830951691
CD200R1,1,6.596100397463429,0.1588351001308885,0.3644562532777993,-0.10356228095876893
RPLP0,0,24.684648284194203,5.8214104149998e-05,0.002282906045097961,-0.33650509207282425
ENSGALG00000037441,0,15.093588853743778,0.0045109922658906,0.04798927942436808,0.06279495915767801
C11H16orf70,1,4.04302294512875,0.4002146388060819,0.5901915069140276,0.49130521538025174
CDC20,1,15.364271100117456,0.0040023722925048,0.04463608239531222,-0.8132601711229414
CCNB1,1,5.579306297422876,0.2328458455875016,0.44267271024239846,-0.3930333160289565
HIST1H103,1,11.18684368268238,0.024542489946325,0.1268825990802248,0.4798450885986669
ENSGALG00000040725,1,5.657429936625498,0.2262339272214906,0.43801341185186954,0.056902391234477226
TEC,1,1.8651560345061016,0.7605426058082299,0.846929405131659,2.3788304861218394
MT-ATP8,1,3.7553350824025338,0.4401289808583801,0.6181586809808709,-0.5110712513936282
RRM2,1,11.302502947109236,0.023366627609994,0.12265946251965355,-0.6923605617351135
ALAS1,0,19.93213133633381,0.0005150430323345,0.011076194243752687,0.24811095104475475
DPYSL3,1,5.532474137462459,0.2368896896452462,0.446671646162951,inf
CHAC1,1,1.2863469959854212,0.8636876720440717,0.909847172671802,0.056902391234477226
TARP,1,5.531266235069017,0.2369947922512049,0.4458980098799716,0.319936797068271
RPLP2,0,7.612174404785156,0.1068633973144362,0.2885598505131034,-0.2652532760235581
PPP1R14B,1,1.6276162212061256,0.8038202962010672,0.8760544540163973,0.6418648919556332
CLCN5,1,9.584734858325016,0.0480349533284809,0.18264240809308327,-0.7662198466814436
ARAP2,1,1.5898066898296124,0.8106230161136208,0.879677716889442,-inf
RPS26,0,22.30231925224969,0.0001744739661772,0.005287089884157576,-0.14106503173071544
LPAR3,1,6.658020978110875,0.155102126617875,0.36125808030891265,0.4719398905133208
RFESD,0,7.914533953742103,0.0947595734830183,0.27308234433146483,0.20460854914001442
ALG10,1,3.5698482916800747,0.4673375349320807,0.6410665774102616,-0.5805275293808145
AvBD14,0,3.8507385152578384,0.4265829064618565,0.608101078349047,-inf
MAMLD1,0,5.038454212993608,0.2833745627924492,0.49368390730391853,-0.9430976087655227
ENSGALG00000050194,1,0.3982616033716331,0.9826189839879952,0.9899973502704275,1.9313715091506183
DIPK1A,1,1.9709125166457155,0.7411090359081841,0.8336434599642115,0.8642573132920812
TOP2A,1,5.84709202659956,0.2108622561435941,0.42148484136093284,-0.31762738393899237
ENSGALG00000032052,0,13.461419407182872,0.0092280360359104,0.06978891982877435,-0.22922158656585595
ENSGALG00000011164,0,1.2364207309867163,0.8720665496735582,0.9155554327281451,1.8642573132920814
HMGB2,0,9.875694925444876,0.0425744583386203,0.16761597771110356,-0.6257567833738125
CD83,1,7.447203335285242,0.1140600638052837,0.3021458643848575,-0.9430976087655227
CDKN2A,0,10.483038052314704,0.0330314401346817,0.14648088751521815,-0.26502570365288536
ENSGALG00000040833,1,10.737260708358251,0.0296810666568201,0.13934773078319296,-0.7425865160703713
SLC20A1,1,4.809672705271468,0.3073895402131414,0.5153219450346042,1.0569023912344773
TUBA3E,1,6.5889232200689785,0.1592730243327082,0.3644691632327419,-0.523779112158803
PABPC1L,1,8.76445001172481,0.06726446791728,0.22620786395789916,0.056902391234477226
LCP1,1,38.156181874444506,1.0404298355624589e-07,7.1753781762928205e-06,0.7659061558990057
ENSGALG00000051178,1,5.346496272810766,0.2535556851028459,0.462692856027091,0.319936797068271
TANK,1,1.3750256244153651,0.8485238586750242,0.9022050597288934,-0.26502570365288536
HSPA8,1,1.8175890923546527,0.769262795626647,0.8523436435504533,-0.26359579820374446
ENSGALG00000030007,1,4.772535188170747,0.3114428938333928,0.5199380531442284,0.056902391234477226
ENSGALG00000001136,0,11.943103015558023,0.0177794192982941,0.10520366448694732,0.9048992977894272
RNF138,1,0.3927351202101481,0.9830673688185344,0.9899973502704275,inf
SLC4A1,0,4.793070702629607,0.309196137716925,0.5173065763188867,-0.5280601094866791
PACS2,1,18.213154722012995,0.0011211605495029,0.01884303444542689,0.9313715091506183
ENSGALG00000031149,0,4.850703200486998,0.3029621263612512,0.5121929439750654,-0.16241063716999904
YIPF6,0,2.399703842459497,0.6626807874293608,0.7723552301041501,-inf
STK26,1,4.028122596146663,0.4022132492288752,0.5897554974030428,0.016260406737131264
CYP3A4,0,5.215471801607409,0.2658945441138552,0.47779792293594825,inf
TRAF3,1,4.585006247042043,0.3325865938342935,0.5355661736462054,0.6418648919556332
ENSGALG00000051895,1,4.600184334830479,0.3308329314623356,0.534463540326875,-inf
LYVE1,1,5.116254822517993,0.2755756730303708,0.4893947683619668,-0.5769697099676258
REEP1,0,6.252585815478247,0.1810624092097928,0.38903576617265023,-0.22320552795825815
LGALS2,1,18.27722394250608,0.0010892554724522,0.018780266766417242,2.3788304861218394
CHN1,1,1.5916336904527897,0.8102950326300746,0.879677716889442,-0.32953263687068035
C15orf48,1,2.5656862484851155,0.6329135273709252,0.75126036076072,0.5423292184047188
HSP90AA1,1,4.408377595361182,0.353550182551886,0.5511304482492378,-0.300451792729118
GSTT1,1,6.368816904871975,0.1732459343811419,0.3801974693151088,-1.943097608765523
PDK4,0,2.954044873370728,0.5655451033724554,0.7064898230761466,0.6418648919556332
ENSGALG00000031327,0,0.4694073518474689,0.9764100250494276,0.9857748864709012,-1.750452530823127
SLC38A9,1,2.192228067114206,0.7004524026070442,0.8009747313974205,-1.5280601094866793
TRAF6,1,11.697107684209865,0.0197516878592213,0.11222549920012102,1.0569023912344773
ALDOB,1,6.438540300262832,0.1687042685323209,0.37580299879171913,-inf
VAMP1,1,6.972146863816539,0.1373674774743347,0.33537060971909444,-1.943097608765523
PTTG2,1,8.637730827538565,0.0708205970894282,0.23068598400465212,-0.6066699441830452
TREM-B2,1,14.416214217497028,0.0060785763031274,0.05671508546966047,1.699008799059242
ENSGALG00000052796,0,10.243779161060178,0.0365154881079496,0.15374942361241936,-0.0862513814121948
ENSGALG00000007302,1,6.106886016248895,0.1913068945457784,0.39889811090706495,-0.13574268670791875
BCL2L1,1,3.2748178666299985,0.5129320171532787,0.6713769858027209,-1.3760570160416294
METTL7A,0,12.8936022572837,0.0118075447390375,0.08116940893927353,0.6418648919556332
ENSGALG00000002527,1,3.778248476162263,0.4368476316468567,0.6165809903272501,1.0569023912344773
ENSGALG00000003283,0,7.315075818145584,0.1201455990519592,0.31152837966313496,1.6418648919556331
ENSGALG00000048687,0,11.66110987374326,0.0200575624522311,0.11341508314179095,-0.3723489672640675
RNF169,0,2.369102399550308,0.668218012358055,0.7769976887884361,-0.9430976087655227
FARP2,0,3.805000602508101,0.4330388799956699,0.6133695184074645,inf
ENSGALG00000049285,1,10.175084011171988,0.037579461410957,0.15523286628253113,0.7938679854006832
LGI1,0,1.5079058422534315,0.825240129944515,0.8907071019368754,0.056902391234477226
SQSTM1,0,2.5241169950315703,0.6403225410517306,0.75450446849687,-0.4500575974854061
ERMP1,0,13.057664484513843,0.0109974451397728,0.07772046035175124,inf
SIN3A,0,2.4299482302397823,0.6572220132510047,0.7686807172526371,inf
FTH1,0,6.12652452136351,0.1898964990236501,0.39727301050972824,-0.008042337988342784
UBE2D1,1,4.954431495424951,0.2920051480236392,0.500437271677188,0.2495474691768731
PPP1R10,0,6.594987611432595,0.1589029264291205,0.3644562532777993,0.05690239123447692
ENSGALG00000036805,0,7.4854435519476015,0.112352886266608,0.29881086773034043,2.3788304861218394
