,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,426.3747825177311,5.555028177500091e-91,3.7033521183333934e-88,-3.074250302456364
HBBA,2,1590.5397673881475,0.0,0.0,-2.783463225030909
HINTW,1,44.42458672041381,5.236506100821355e-09,2.181877542008898e-07,1.4840920585273396
ENSGALG00000052767,2,1519.3102843036302,0.0,0.0,-2.883526835944412
ENSGALG00000053077,1,78.03013869399882,4.5519160660994265e-16,3.7932633884161886e-14,1.7372250711231172
HBAD,2,401.7034510409612,1.1918905927252016e-85,4.767562370900806e-83,-1.68997015912769
KPNA2,0,0.6936385944200146,0.9521110890546232,0.96857689629158,-0.4381599951919275
ENSGALG00000047563,1,14.288697732860086,0.0064284323669697,0.04383897953061701,-0.22083838180723445
THY1,1,2.7898123860115724,0.593592554148945,0.6950732484179684,-0.5434014052396081
ENSGALG00000050153,0,10.561021960104826,0.0319667289738805,0.12062916593917168,-0.423370701532838
LDHA,1,403.4887256621467,4.90326375323461e-86,2.451631876617305e-83,1.5650355620664989
CRIP1,1,112.5627212149999,2.0669452803228975e-23,2.75592704043053e-21,3.1724662439969338
MLANA,1,3.7019867969990417,0.4478370214886847,0.5838813839487415,-0.11606464101032084
ID2,1,246.5024662399952,3.689523456480418e-52,1.2298411521601394e-49,2.0730407052784856
CD99,0,4.791732408678692,0.3093421495153166,0.4651761646846866,0.872206066407572
HIST1H101,1,4.278893634654262,0.369575508698904,0.5140132248941641,-1.0303822545189087
HSPA5,1,6.295821753817922,0.1781185262337193,0.3250338069958381,-0.3753074676817404
MT-MT-CO1,1,29.100461503327523,7.458507179101312e-06,0.0001754942865670897,-0.3353284522674244
RSFR,1,91.7248656047675,5.662697182008338e-19,6.291885757787042e-17,4.497094751541487
MT-ND3,0,80.97498667881807,1.082485910382912e-16,1.03093896226944e-14,-0.13972688802973543
CDK1,1,0.1687835421788222,0.9966331596393556,0.9976307904297854,-0.3697285240030508
ENSGALG00000050596,1,7.886541567047807,0.0958238595193491,0.22849265010020667,0.2549176781905876
HSP90B1,1,27.085294968792,1.91049719354062e-05,0.0004108596115141118,-0.23692696275875863
IFI6,1,6.986826136397367,0.1365860436699438,0.2816207085978223,0.22097034626724998
ENSGALG00000053107,1,4.457715394074807,0.3475908266336722,0.495962193067899,1.073413157853392
CCDC170,0,3.872774956821196,0.4234976129317256,0.5598117818000339,-2.211989061008856
