,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,234.759267992474,1.2472389371907405e-49,2.4944778743814812e-46,2.9876691980892804
HBBA,2,58.10712767630968,7.245919832102056e-12,2.8983679328408222e-09,1.5266925968046585
HINTW,1,2.8122275755952977,0.5897238644395908,0.9011241205629164,-1.5105254663801198
ENSGALG00000052767,2,80.61945339632148,1.2875391685332258e-16,8.583594456888174e-14,1.6467432910131674
ENSGALG00000053077,1,4.154230144345031,0.3855352775502109,0.8567450612226909,0.24166607570396395
HBAD,2,63.80200289220646,4.600237162442343e-13,2.3001185812211715e-10,1.2719619619235403
KPNA2,0,4.094079535222215,0.3934232729471051,0.8590027793604914,0.2553474680793604
ENSGALG00000047563,1,9.259866305273874,0.0549223129553522,0.6349962474395595,0.28518531029328453
THY1,1,5.553281479997869,0.2350855429288481,0.8626992401058646,0.3158546923166738
ENSGALG00000050153,0,5.034257097765453,0.2838005303992795,0.8718910304125329,0.5719724744951524
LDHA,1,104.6416213762008,1.0098511706189545e-21,1.0098511706189546e-18,-1.3129527328489903
CRIP1,1,19.95372774123813,0.0005100131249815,0.0300007720577352,-3.2020393593802807
MLANA,1,0.9657729070492506,0.9149407602566252,0.9780232605629344,-0.6338721012021025
ID2,1,11.268919360435229,0.0237023175066256,0.4323917225828546,-1.003804518716875
CD99,0,6.592271049826128,0.1590686161980686,0.8157364933234288,-0.0786569438749984
HIST1H101,1,5.7260426279677725,0.2205630436212797,0.8578864627821635,-0.24821840870435313
HSPA5,1,2.362695366481341,0.6693790454823872,0.9202728820116762,-0.2628072276519391
MT-MT-CO1,1,6.74953945791928,0.1497308628839901,0.7987103882558277,0.018250313652953386
RSFR,1,26.6465281474618,2.3432678328169248e-05,0.0026036309253521,-inf
MT-ND3,0,11.91099387454678,0.0180255575529391,0.3752967639410948,-0.015769658977468886
CDK1,1,6.749066185414564,0.1497581977979677,0.796598466372226,0.0880713023464507
ENSGALG00000050596,1,3.387505810203718,0.4951881182341775,0.8890271422516652,-0.8902118544618884
HSP90B1,1,7.467399385601576,0.1131554637984034,0.7940734301642344,-0.1643868179008823
IFI6,1,2.3065036772607264,0.6795852073940587,0.9222526794676768,-inf
ENSGALG00000053107,1,3.4265452566354737,0.4891348258246328,0.8933969421454481,1.742503777707636
CCDC170,0,4.923507715530045,0.2952365139048047,0.8696215431658461,3.121015400961366
MT-ND4L,1,4.368758557355173,0.3583941582277286,0.861960762564551,0.13791423873272876
ENSGALG00000011747,1,5.907231727708659,0.2061842082205401,0.8432891951760331,-0.5514099410101299
SAT1,0,28.187078756661613,1.142995997622844e-05,0.0014287449970285,1.135711912168068
TUBB1,0,11.493010202778896,0.0215478228937574,0.419248038820433,1.2286243750479624
DDC,1,2.005114076296478,0.734818201601646,0.9297706650181724,-inf
ENSGALG00000040263,1,3.8573906808732574,0.4256498185786428,0.8727458692219368,-1.5514099410101294
LBH,1,5.631001633738515,0.2284520619860867,0.861849064830145,-2.55140994101013
PTGS1,1,2.356329630320582,0.6705331607038252,0.9197985743536696,-1.8097219366015205
ASTL,1,0.8196579685627922,0.9357933797615838,0.9838198650087622,-inf
SMC2,1,2.2440855775572848,0.6909667435144635,0.928088486358263,-0.24732315888295447
MARCKSL1,0,2.9049898611860074,0.5738489416386379,0.900861760814188,4.53605290024021
FTL,1,6.2736539850631,0.1796224869037132,0.8203414702498871,0.6291623046316913
PCNA,1,2.5573460010796456,0.6343973763446946,0.9101827494185002,-0.5409270971345287
RPLP1,0,24.016047910505765,7.928532042717734e-05,0.007147454980227,0.3726153626315093
RLN3,1,8.77781969841547,0.0668993024228581,0.668993024228581,-inf
PDLIM1,0,9.14375324372261,0.0576050691709808,0.626142056206313,0.31366047890376186
LAMP3,1,40.09952088842212,4.128067911538076e-08,8.256135823076153e-06,-3.4667621153668446
ATP1B1,1,0.6530959175676291,0.9569846661755116,0.9877048425520528,-0.5932301167047568
LY6E,1,48.4774111047453,7.50465975560344e-10,2.144188501600983e-07,-2.3708376953683086
CSTA,0,7.34335248460077,0.11881848379828,0.7911519866397515,-0.4502721628627136
ENSGALG00000043758,1,5.229700364890294,0.264530222619335,0.8602608865669431,-0.28706933767571086
HINT2,1,10.243620846280171,0.0365179065023513,0.5324731875940494,-0.011050056654927339
CD200R1,1,1.1990900153572892,0.8782484180637753,0.9667016159205012,1.0335525597110264
RPLP0,0,12.944046429981082,0.0115524538834629,0.3000637372328026,0.5129692871271686
ENSGALG00000037441,0,14.97152180902835,0.0047606487242491,0.1560868434180033,0.3253738994675521
C11H16orf70,1,8.48084921881697,0.0754698468456201,0.6955746253052544,-0.7858751946471527
CDC20,1,1.5525728071717837,0.8172898211827595,0.9453901922299128,-0.0023670145439163457
CCNB1,1,8.526570566175634,0.0740859129957571,0.6923917102407205,-0.3634202238058258
HIST1H103,1,10.53391408756232,0.0323330249470228,0.49743115303112,-1.5873295152650726
ENSGALG00000040725,1,0.5612525059083565,0.9672705551036546,0.991055896622597,-inf
TEC,1,4.671281845002395,0.3227181036506732,0.8527412821883823,-inf
MT-ATP8,1,5.376207761036715,0.2508271034569964,0.8739620329512069,0.2313551760145681
RRM2,1,3.1321851131736733,0.5359533149561243,0.8954942605783197,-0.299646647511356
ALAS1,0,25.346430994010493,4.285121103900384e-05,0.0040810677180003,0.39895174576938275
DPYSL3,1,4.045874698748132,0.3998329842494068,0.8662299437054934,-inf
CHAC1,1,3.493447892991003,0.4788753059094032,0.8957959632460317,-inf
TARP,1,4.235340476999865,0.3750918933713264,0.8612902258813465,-inf
RPLP2,0,13.34825856038002,0.0096937450469961,0.2655820560820849,0.2017822820046207
PPP1R14B,1,0.3890211746989357,0.9833658646292268,0.997328463112806,-inf
CLCN5,1,2.622658305693105,0.6228145961605829,0.9072317496876662,-0.1643868179008825
ARAP2,1,1.5185042786458651,0.8233586896007137,0.9469063842090836,
RPS26,0,14.09769629438028,0.0069896894372374,0.2004271663701742,0.48370700627302027
LPAR3,1,2.987598020275956,0.5599029826738482,0.8972804209516798,-inf
RFESD,0,12.696702376458468,0.0128568925233623,0.32351846647251,0.7431491344801462
ALG10,1,4.876324398611301,0.3002243906542831,0.8664484578767189,-inf
AvBD14,0,1.958465373190776,0.7433981950995247,0.9318332910579596,inf
MAMLD1,0,1.4273778981516874,0.8394229210490747,0.9519358123396716,2.53605290024021
ENSGALG00000050194,1,5.974004941741883,0.2010980291217635,0.8409789840622706,0.6615837823240688
DIPK1A,1,1.5133449827947614,0.8242749712780966,0.9468102585848251,-inf
TOP2A,1,8.5722689985117,0.0727266607403865,0.6970579744385856,-0.025602226988877434
ENSGALG00000032052,0,14.278658419087694,0.0064568000021898,0.1956606061269636,0.489122545172801
ENSGALG00000011164,0,0.3143713056038949,0.9888676711588238,0.9974144405853056,0.7286979781826057
HMGB2,0,3.381704577624145,0.4960917897540813,0.889850743953509,0.26379996437703734
CD83,1,7.361557770447167,0.1179712461771624,0.7917533300480698,-inf
CDKN2A,0,2.591218727385675,0.6283794737281971,0.9080628233066432,1.4620523187964332
ENSGALG00000040833,1,1.6586116643474913,0.7982214099296132,0.9452000117579789,0.1424869312641906
SLC20A1,1,0.8098233026641656,0.937126282944898,0.9836871541995827,-inf
TUBA3E,1,6.178711837252592,0.1861935717530161,0.8292671964128667,0.035154664307528005
PABPC1L,1,4.703534310216839,0.3190908439813038,0.8556218349988016,-inf
LCP1,1,25.87851137458288,3.348052346166304e-05,0.0033480523461663,-2.5083412191182437
ENSGALG00000051178,1,2.302862813625797,0.6802478815205669,0.9220662595980632,-0.0489096004809464
TANK,1,1.966536015771443,0.7419139486282241,0.9320526992816888,-0.2009126939259962
HSPA8,1,18.25519165141628,0.0011001245616479,0.0536646127633121,-0.7677278479368932
ENSGALG00000030007,1,2.702558283550885,0.6087670199924906,0.9026738044334864,-inf
ENSGALG00000001136,0,4.25230908454797,0.372935098256946,0.862335838447887,-0.6338721012021025
RNF138,1,2.2058527594611173,0.6979579016342617,0.928753029453442,-inf
SLC4A1,0,5.10417287400868,0.2767747508495592,0.8708455735115838,2.273018494406416
PACS2,1,0.2256426715418879,0.9940947039336344,0.9970859618190916,-inf
ENSGALG00000031149,0,2.984365432245658,0.5604452080082862,0.8973829122939111,0.9293953284197346
YIPF6,0,2.084905457348857,0.7201459889852325,0.9280629101953192,inf
STK26,1,2.9065107839494173,0.5735905194537878,0.900861760814188,-0.42330511526244446
CYP3A4,0,4.242021536380062,0.3742415424243718,0.8617698886125358,3.121015400961366
TRAF3,1,2.203280690391734,0.6984286949382208,0.9282329320806254,-inf
ENSGALG00000051895,1,3.069146671364892,0.5463212959429996,0.8944416377978445,
LYVE1,1,1.7004198416329483,0.7906413578955285,0.9434861072739004,-0.3219280948873623
REEP1,0,3.437848647336926,0.4873912985120008,0.896442773954659,2.313660478903762
LGALS2,1,9.488738602532212,0.0499791591127824,0.6058079892458472,-inf
CHN1,1,8.24945539770593,0.0828560671568357,0.7204875404942236,-1.222170314486515
C15orf48,1,1.543937828437657,0.818830967797531,0.9466253962977236,-0.27130202181739427
HSP90AA1,1,21.03635443464211,0.0003114565230859,0.0217054131376965,-0.7035632291397032
GSTT1,1,0.1010696371266329,0.9987653297768454,0.9987653297768454,-inf
PDK4,0,4.713867607033215,0.3179357995938767,0.860989051537609,1.9510903995190536
ENSGALG00000031327,0,2.158971368326974,0.7065473290329862,0.9295065631668956,1.5360529002402097
SLC38A9,1,2.7028176885067063,0.6087216432882758,0.9032151631936064,-inf
TRAF6,1,4.111451618347411,0.3911325929713437,0.8596320724644916,-inf
ALDOB,1,2.778699602405563,0.5955151069602179,0.9037041583429032,
VAMP1,1,0.9304713994098402,0.920149075934936,0.9787121596655975,1.5360529002402097
PTTG2,1,3.6912057725953087,0.4494062866497025,0.8776702430757923,-0.2867734305798345
TREM-B2,1,6.914651782194972,0.1404678164486264,0.8034665649645583,-4.150447626943009
ENSGALG00000052796,0,4.793611058836731,0.3091371994011229,0.8661761458437783,0.012058416810480555
ENSGALG00000007302,1,0.234160856659674,0.9936582871244692,0.9977273590932356,-inf
BCL2L1,1,0.2689766936285651,0.991727811140656,0.9979196725256728,0.5360529002402098
METTL7A,0,2.9010655431169123,0.5745160108659085,0.9012015856720136,2.53605290024021
ENSGALG00000002527,1,2.5976170084427843,0.6272453185850873,0.907079274888051,-inf
ENSGALG00000003283,0,3.41780666298147,0.4904855533926517,0.8908434416945334,2.53605290024021
ENSGALG00000048687,0,6.158634058214663,0.1876104670362857,0.8259135740345636,0.8320377278752904
RNF169,0,2.0492391663856173,0.726702747603837,0.929881954707405,2.5360529002402097
FARP2,0,4.2876523927770815,0.368473823779115,0.8609201490166238,0.9510903995190536
ENSGALG00000049285,1,11.93511904392436,0.0178403149324072,0.3756834418303179,-1.3708376953683088
LGI1,0,2.0777717139665883,0.7214571109208755,0.9274183003924495,0.9510903995190536
SQSTM1,0,1.3354148406841713,0.8553388786609248,0.9594378896925684,0.7475570054339215
ERMP1,0,4.240468964832645,0.3744390166021468,0.8608836876682087,1.5360529002402097
SIN3A,0,3.42251481797027,0.4897575074401674,0.8929033863995759,1.53605290024021
FTH1,0,4.0122680828637645,0.4043480913268372,0.8647739849782952,0.05862485230906648
UBE2D1,1,9.250918353437616,0.0551247433756312,0.6299970671500709,-1.0489096004809464
PPP1R10,0,4.5330427543291,0.338647424846712,0.8519432071615396,1.2506506813779614
ENSGALG00000036805,0,6.464951501689096,0.1670121616257612,0.8206985829275736,0.21412480535284734
ZNF831,1,3.914502828126204,0.4177002731874872,0.8693033781217215,-inf
TNRC6A,1,4.206120163885252,0.3788286321270949,0.8578819474672841,-inf
TRIM62,1,2.1388052434515066,0.7102468845743263,0.9303769516660416,-inf
ADAM9,1,2.210831934581478,0.6970466710844972,0.928158017422766,-0.67340046538874
ENO2,1,5.236125297754191,0.2639161219601234,0.8658649554693619,0.36612789879789753
MT-ND6,1,11.26106040223106,0.023781544742057,0.4323917225828546,0.12981658599550172
TMEM243,1,1.46173784079529,0.8333968232004492,0.9508512311323544,-inf
ENSGALG00000047058,1,1.3280215862624676,0.8566036399618526,0.9594237836510248,-inf
LUZP2,0,4.882731311254813,0.2995430086876957,0.8679240433417335,0.10309349296410343
TMBIM1,1,1.954105341467025,0.7441999835654909,0.931414247265946,0.9510903995190536
ENSGALG00000045540,1,1.103479007552716,0.8937198305176036,0.9715059494969442,
COPB2,1,2.3128330235894845,0.6784335846074485,0.923038890622379,-0.08285693240428398
BTG1,0,1.4555270098890674,0.8344890108646488,0.9502653556184796,0.15714213601259974
ENSGALG00000001805,0,3.543650251257618,0.4712723415195442,0.8896870646949676,4.121015400961366
EFHC1,1,3.1124484061098423,0.5391869328473077,0.8952935382474708,-inf
SMOC1,1,2.0439493633186427,0.7276754922444975,0.9299367313028722,-inf
ENSGALG00000052861,1,1.9986003230940872,0.7360163385008454,0.930488417826606,-inf
BLVRA,0,1.5830958042459664,0.8118270889318271,0.9451778487973136,0.6429681041567217
TSPAN9,1,3.225613711759385,0.5208038536205064,0.8951127009600058,-1.7118746132033758
LAMP5,1,13.809176324249572,0.0079296626024253,0.223370777533107,-2.896906507035897
CYP51A1,1,4.228079091449379,0.3760178087338667,0.857722476386126,-0.8123474060083437
ENSGALG00000013101,0,14.510030882942637,0.0058331711291363,0.1822865977855093,1.9648961990440839
CD74,1,5.29588961333355,0.2582619589723006,0.8768681671438142,-0.057471613984370375
HSPB9,1,1.1023826248687183,0.893893991974766,0.9706525479531204,-inf
MCU,1,4.975021959137588,0.2898700139736289,0.8731024517277979,0.46566357234881156
CAP2,1,8.921852415840684,0.0630827578855641,0.6571120613079594,-inf
ATP6V0C,1,0.812497472630141,0.9367647945309432,0.9838596146403128,-0.050485455406485684
ENSGALG00000002012,1,3.1440624266837207,0.5340129062987962,0.8949413200777162,-inf
PLK3,1,2.360495551186613,0.6697778111662409,0.9200244658876936,-inf
HBE,1,2.4314001201164936,0.6569603237881905,0.9188256276757908,
CAPN15,1,2.1190244529082034,0.71387810324436,0.92711441979787,0.7425037777076361
ATF2,0,1.691403748475388,0.792278546046863,0.943750501544804,0.4205756828202737
CBX1,1,5.678993937782182,0.2244380383002587,0.8648864674383765,-0.10780328953451485
ENSGALG00000027159,1,5.95178400296582,0.2027781254688369,0.8366201109907455,-inf
EXD2,0,6.173149872259401,0.186585119192895,0.8285269508032971,4.857980995127573
ALKBH2,1,9.733430363346828,0.0451655659052843,0.5718981450602431,-inf
SGCB,0,2.6324672341622763,0.6210826019237075,0.9058071282146992,0.9510903995190536
PTPN7,1,7.666266490632703,0.1045972223227665,0.7677731645850483,-1.7344760421405085
S100A11,1,2.8678625900506325,0.5801761422306999,0.9006482523947483,-inf
