,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,5.832002564682474,0.2120506261528776,0.6657790460058951,-0.08658110436708345
HBBA,2,144.5205551508692,3.0382866684654324e-30,6.076573336930865e-27,-1.25677062822625
HINTW,1,9.014459387042926,0.0607390794696434,0.4401382570264014,-0.02643340785277985
ENSGALG00000052767,2,136.94449619389246,1.2725997708543699e-28,1.2725997708543701e-25,-1.2367835449312448
ENSGALG00000053077,1,38.66994619346573,8.15026028518043e-08,2.0375650712951076e-05,1.9788911468270811
HBAD,2,6.40852894161536,0.1706458179630968,0.6107606909638326,-0.41800819720415017
KPNA2,0,3.9852270017190814,0.4080088495711377,0.7673371875849554,-0.18281252711256718
ENSGALG00000047563,1,1.7337102364005958,0.7845853965035099,0.92249899647679,0.06434692848605003
THY1,1,4.343527016339074,0.3615063169583826,0.7515723845288619,-0.22754671292293452
ENSGALG00000050153,0,4.083380944272559,0.3948390620672827,0.7636312131569715,0.1486017729623144
LDHA,1,6.405055187374061,0.1708718461118609,0.610256593256646,0.2520828292175086
CRIP1,1,3.455266616251868,0.4847126707610493,0.7952627904200973,-0.02957311538334718
MLANA,1,1.109522832813111,0.8927583740316051,0.9575111754324296,-0.7499367422124235
ID2,1,21.369985402608343,0.0002674207337595,0.0254686413104285,1.0692361865616105
CD99,0,11.08108557167093,0.0256676809502752,0.3422357460036693,0.7935491225325735
HIST1H101,1,9.223642320069333,0.0557462092916095,0.4330009106774597,-1.2786006632232618
HSPA5,1,1.0020313308811917,0.9094878171922264,0.9630264415937332,-0.6381146953336793
MT-MT-CO1,1,5.002163906451422,0.2870755369202976,0.71109372869327,-0.3170781386144711
RSFR,1,5.137234500000041,0.27350399393653,0.7059108288274097,-inf
MT-ND3,0,7.317209352963698,0.1200449889157944,0.5444217184389769,-0.1554965470072043
CDK1,1,7.08441456262653,0.1314939807602205,0.5692380119490065,-0.2816572216566
ENSGALG00000050596,1,3.567379183910073,0.4677074184396249,0.7960977335142551,-0.6352941762713006
HSP90B1,1,4.0704238191693545,0.3965589133073685,0.7655577476976225,-0.401313780659641
IFI6,1,6.3098954975065205,0.1771695853047295,0.6205589677923976,-inf
ENSGALG00000053107,1,6.537534941119319,0.1624406891689214,0.6028583092703741,2.815916935561028
CCDC170,0,6.933355123952006,0.1394522954309837,0.578441169527453,0.9090263399525096
MT-ND4L,1,2.8015644904764088,0.5915626846294465,0.8379074853108307,-0.468525261158189
ENSGALG00000011747,1,7.93918978289025,0.0938313210649311,0.5004337123462992,-1.6759361607686467
SAT1,0,6.7169237102300325,0.1516253436124061,0.594063871681883,0.4907431811700118
TUBB1,0,5.241210117384783,0.2634309740093893,0.6987558992291494,0.5727429520880772
DDC,1,1.9775393428345616,0.739890202014418,0.9017552736312224,
ENSGALG00000040263,1,3.3947176628113365,0.4940662073760278,0.798060408006573,0.07895134139482216
LBH,1,3.186398974738381,0.5271305433716869,0.8124863620189802,-1.6759361607686467
PTGS1,1,2.903832241638541,0.5740456754891874,0.8274194269973192,-1.5357585027203862
ASTL,1,0.4697828238462468,0.9763751696690848,0.99271649209659,
SMC2,1,1.0836214105015551,0.8968620699792814,0.9576743939981648,-0.5693370946951635
MARCKSL1,0,2.956835116249445,0.5650747345689393,0.8243545254025999,0.10167141789490546
FTL,1,2.4799129167882565,0.6482362725637247,0.8625898503841979,-0.31336608138393846
PCNA,1,3.51166948295054,0.4761061938535779,0.8000131077587485,-0.43783965668475505
RPLP1,0,3.042616675874731,0.5507191059276816,0.8219800351397328,-0.15246939126798986
RLN3,1,1.8387853452427405,0.76537922198909,0.9155096381294836,-inf
PDLIM1,0,12.658808961099863,0.0130690268344549,0.26163717013711,-0.16897617204876356
LAMP3,1,3.0058262939196,0.5568508578026004,0.82094460094735,-1.6249522320498417
ATP1B1,1,4.762203940538804,0.3125782981207437,0.7162085234891706,-0.20645087746742652
LY6E,1,0.315133062672318,0.9888164584609702,0.9952858162667038,-0.8191690445859643
CSTA,0,60.35323512766189,2.445065541453495e-12,1.6300436943023301e-09,1.0772510524049828
ENSGALG00000043758,1,6.218556854914494,0.1834100395360796,0.626049686552959,0.28753796320623953
HINT2,1,6.884466749120195,0.142121051057091,0.582804061296552,0.345890201684532
CD200R1,1,3.245932367997126,0.5175441852790363,0.8086627894984943,1.4939888406736659
RPLP0,0,14.269302469526073,0.0064833471453651,0.2091402304956483,-0.13489761644239223
ENSGALG00000037441,0,8.757041666661648,0.0674676243786396,0.448289862980994,0.23796564145593777
C11H16orf70,1,17.70106396565926,0.0014116352134621,0.0866905218670363,-0.9914379864965763
CDC20,1,2.646938247385888,0.6185311386751224,0.8537582028249386,-0.5894271675139718
CCNB1,1,6.07661185925911,0.1934994420562566,0.6370640539046422,-0.6666583471806359
HIST1H103,1,9.28046036159955,0.054459100753691,0.4288118169581968,-1.5188351996839178
ENSGALG00000040725,1,3.705247362213009,0.4473631847357567,0.781420410018789,-inf
TEC,1,3.122630847187956,0.5375172321231028,0.8131879457233022,-inf
