,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,247.9142169874916,1.831777649111428e-52,3.663555298222856e-49,2.729957305104512
HBBA,2,37.2905038889035,1.569378034183851e-07,2.8534146076070017e-05,1.0790165563017922
HINTW,1,4.431988171456844,0.3506882687228377,0.6838001915129165,-1.095599890688678
ENSGALG00000052767,2,57.72466773030468,8.717087676518419e-12,2.68634363328024e-09,1.12019089403354
ENSGALG00000053077,1,13.236637918386904,0.0101755934720563,0.1668130077386279,-0.78791168947703
HBAD,2,199.73037331833112,4.2937998475689976e-42,4.2937998475689975e-39,1.448013411873279
KPNA2,0,5.5193442408678095,0.2380343307542421,0.6064568936413811,-0.3995192193239302
ENSGALG00000047563,1,2.608013193001402,0.6254042798468487,0.8361019784048779,0.8010242430947202
THY1,1,9.474111156344724,0.0502819323142328,0.3446060052746384,0.8562848778805361
ENSGALG00000050153,0,19.58608571881083,0.0006026697964116,0.03013348982058,1.3550526504297409
LDHA,1,81.08214111503848,1.0273405986583707e-16,6.848937324389138e-14,-1.990387337845814
CRIP1,1,12.670247750922378,0.0130046333206471,0.18847294667604492,-3.0180931579281287
MLANA,1,5.943491389982156,0.203408302975094,0.5684012220994642,-1.4396500537604573
ID2,1,25.309734663672497,4.3586142413667474e-05,0.0031132958866905342,-1.6303964294376547
CD99,0,11.681173386700364,0.0198865194472356,0.23534342541107217,0.22876450374904775
HIST1H101,1,4.677990754946201,0.3219608254548172,0.671704821443213,0.056583528366367514
HSPA5,1,6.089612361139984,0.1925551742170846,0.555592004831242,-1.3295092738717647
MT-MT-CO1,1,5.892745858521084,0.2073025376971757,0.5710813710665997,-0.3912581451791245
RSFR,1,14.66785966568402,0.005442075749676,0.12019366383559339,-inf
MT-ND3,0,5.504008836278965,0.2393773242452361,0.6067866267306365,-0.4241719663549101
CDK1,1,4.654836923447382,0.3245805014739136,0.6751826889873406,-0.292683275111505
ENSGALG00000050596,1,1.8304152049459697,0.7669132575894663,0.8944913555422889,-0.7914133781885827
HSP90B1,1,14.809876820135411,0.0051122330659931,0.11752259921823217,-1.237375450662327
IFI6,1,6.585922617966059,0.1594564344415499,0.5181582893183273,-inf
ENSGALG00000053107,1,11.552580700977057,0.0210078196933295,0.24304428879399653,0.47804729680464414
CCDC170,0,6.778415772917979,0.1480716335946552,0.5046856934978547,inf
MT-ND4L,1,3.2621617821736684,0.5149496530710918,0.7826579075485899,-0.6337703109509708
ENSGALG00000011747,1,4.887321974847786,0.2990555785548651,0.6557192954657167,0.2085866218114173
SAT1,0,5.836217609502584,0.2117180769264458,0.5746445198083644,0.42473464001437566
TUBB1,0,9.044149594499256,0.0600053749354525,0.3534842801359024,0.8612359300441483
DDC,1,1.1372022515294116,0.8883256268701799,0.9557299603781629,-inf
ENSGALG00000040263,1,5.588810477108589,0.2320325623117711,0.5987937091916674,-0.6947373587769088
LBH,1,6.735772734065794,0.1505278527511706,0.5059759756341868,-1.0809199953835675
PTGS1,1,6.629921669968498,0.1567861369989169,0.5148970016384791,-1.9191689253869553
ASTL,1,2.297103612609198,0.681296437913075,0.8610986247136375,-inf
SMC2,1,1.269193504313166,0.8665802042075808,0.9471063898891905,-0.5911147277027512
MARCKSL1,0,4.2688564962628055,0.3708411527848371,0.6978753107576089,0.7935491225325735
FTL,1,5.024265497464117,0.2848167536775173,0.6451115598584763,-0.6658824961047237
PCNA,1,4.190844776504983,0.3807935108547528,0.703869705831336,-0.9255500508401188
RPLP1,0,13.305737563514128,0.009874612592894,0.1632167370726281,0.05418674004099229
RLN3,1,2.4135211986652045,0.6601851511325579,0.8573833131591662,-inf
PDLIM1,0,12.758570829837227,0.0125177379038458,0.1874180176077985,0.8760112827245466
LAMP3,1,25.799971520820367,3.4723358401194606e-05,0.0027401795743869947,-3.376375878909739
